EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2018 General Election,élection générale de 2018,2018-Jun-07,24,Durham,Durham,5,97716,4755,102471,0,55,5,60807,93,175,341,61416,0.5993500600169804,2018
2018 General Election,élection générale de 2018,2018-Jun-07,25,Eglinton-Lawrence,Eglinton-Lawrence,6,80536,2666,83202,0,72,5,49527,168,167,149,50011,0.6010793009783418,2018
2018 General Election,élection générale de 2018,2018-Jun-07,26,Elgin-Middlesex-London,Elgin-Middlesex-London,7,86171,3465,89636,0,63,11,52767,113,160,251,53291,0.5945267526440269,2018
2018 General Election,élection générale de 2018,2018-Jun-07,27,Essex,Essex,4,91804,5969,97773,0,51,8,54503,80,147,136,54866,0.5611569656244566,2018
2018 General Election,élection générale de 2018,2018-Jun-07,28,Etobicoke Centre,Etobicoke Centre,7,90032,2683,92715,0,77,5,56825,230,195,148,57398,0.6190799762713692,2018
2018 General Election,élection générale de 2018,2018-Jun-07,29,Etobicoke-Lakeshore,Etobicoke-Lakeshore,6,96769,4837,101606,0,67,5,58993,140,215,199,59547,0.5860579099659468,2018
2018 General Election,élection générale de 2018,2018-Jun-07,30,Etobicoke North,Etobicoke North,5,70353,2227,72580,0,36,5,36306,155,208,44,36713,0.5058280518049049,2018
2018 General Election,élection générale de 2018,2018-Jun-07,31,Flamborough-Glanbrook,Flamborough-Glanbrook,7,83068,2959,86027,0,50,6,51588,113,205,213,52119,0.6058446766712776,2018
2018 General Election,élection générale de 2018,2018-Jun-07,32,Glengarry-Prescott-Russell,Glengarry-Prescott-Russell,6,85106,3929,89035,0,92,9,48690,329,252,70,49341,0.5541753243106643,2018
2018 General Election,élection générale de 2018,2018-Jun-07,33,Guelph,Guelph,8,100490,5991,106481,0,75,5,64577,139,170,196,65082,0.6112076332866896,2018
2018 General Election,élection générale de 2018,2018-Jun-07,34,Haldimand-Norfolk,Haldimand-Norfolk,9,82392,3950,86342,0,56,8,50593,86,170,268,51117,0.5920293715688772,2018
2018 General Election,élection générale de 2018,2018-Jun-07,35,Haliburton-Kawartha Lakes-Brock,Haliburton-Kawartha Lakes-Brock,7,91694,5138,96832,0,86,13,57143,133,216,277,57769,0.596589970257766,2018
2018 General Election,élection générale de 2018,2018-Jun-07,36,Hamilton Centre,Hamilton Centre,8,71645,4027,75672,0,50,5,36575,98,181,157,37011,0.4890976847446875,2018
2018 General Election,élection générale de 2018,2018-Jun-07,37,Hamilton East-Stoney Creek,Hamilton East-Stoney Creek,7,81920,2168,84088,0,43,5,44020,172,280,145,44617,0.5305988963942536,2018
2018 General Election,élection générale de 2018,2018-Jun-07,38,Hamilton Mountain,Hamilton Mountain,6,78288,2290,80578,0,37,5,44717,130,230,178,45255,0.5616297252351758,2018
2018 General Election,élection générale de 2018,2018-Jun-07,39,Hamilton West-Ancaster-Dundas,Hamilton West-Ancaster-Dundas,7,86206,3576,89782,0,82,5,55390,112,221,172,55895,0.62256354280368,2018
2018 General Election,élection générale de 2018,2018-Jun-07,40,Hastings-Lennox and Addington,Hastings-Lennox and Addington,6,71937,4171,76108,0,79,14,44521,163,136,162,44982,0.5910285383928102,2018
2018 General Election,élection générale de 2018,2018-Jun-07,41,Humber River-Black Creek,Humber River-Black Creek,7,63605,2684,66289,0,45,5,30929,192,180,25,31326,0.4725670925794626,2018
2018 General Election,élection générale de 2018,2018-Jun-07,42,Huron-Bruce,Huron-Bruce,6,78710,5447,84157,0,91,9,52802,122,240,284,53448,0.6350986846013997,2018
2018 General Election,élection générale de 2018,2018-Jun-07,43,Kanata-Carleton,Kanata-Carleton,7,83167,3282,86449,0,48,5,53453,86,164,168,53871,0.6231535356105912,2018
2018 General Election,élection générale de 2018,2018-Jun-07,44,Kenora-Rainy River,Kenora-Rainy River,4,36327,1115,37442,0,99,7,20071,66,23,104,20264,0.5412104054270604,2018
2018 General Election,élection générale de 2018,2018-Jun-07,45,King-Vaughan,King-Vaughan,7,89824,3679,93503,0,49,4,51461,146,225,83,51915,0.5552228270750671,2018
2018 General Election,élection générale de 2018,2018-Jun-07,46,Kingston and the Islands,Kingston and the Islands,6,93035,4985,98020,0,82,6,55644,107,202,201,56154,0.5728830850846764,2018
2018 General Election,élection générale de 2018,2018-Jun-07,47,Kitchener Centre,Kitchener Centre,7,79894,2551,82445,0,61,5,47280,122,197,438,48037,0.5826551034022681,2018
2018 General Election,élection générale de 2018,2018-Jun-07,48,Kitchener-Conestoga,Kitchener-Conestoga,6,70432,2663,73095,0,44,6,42974,119,141,571,43805,0.5992885970312606,2018
2018 General Election,élection générale de 2018,2018-Jun-07,49,Kitchener South-Hespeler,Kitchener South-Hespeler,6,73848,3448,77296,0,47,5,42483,102,127,432,43144,0.55816601117781,2018
2018 General Election,élection générale de 2018,2018-Jun-07,50,Lambton-Kent-Middlesex,Lambton-Kent-Middlesex,6,80141,3852,83993,0,68,9,50424,146,269,207,51046,0.6077411212839166,2018
2018 General Election,élection générale de 2018,2018-Jun-07,51,Lanark-Frontenac-Kingston,Lanark-Frontenac-Kingston,6,76223,5702,81925,0,78,13,50343,151,149,173,50816,0.6202746414403417,2018
2018 General Election,élection générale de 2018,2018-Jun-07,52,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands and Rideau Lakes,5,78398,4113,82511,0,86,10,48969,166,146,404,49685,0.6021621359576298,2018
2018 General Election,élection générale de 2018,2018-Jun-07,53,London-Fanshawe,London-Fanshawe,7,88707,3721,92428,0,44,5,45391,96,193,214,45894,0.4965378456744709,2018
2018 General Election,élection générale de 2018,2018-Jun-07,54,London North Centre,London North Centre,7,94056,5432,99488,0,83,5,54113,137,169,249,54668,0.5494934062399485,2018
2018 General Election,élection générale de 2018,2018-Jun-07,55,London West,London West,8,95329,3420,98749,0,63,5,58996,116,228,461,59801,0.6055858793506769,2018
2018 General Election,élection générale de 2018,2018-Jun-07,56,Markham-Stouffville,Markham-Stouffville,6,88514,3928,92442,0,42,5,53846,148,211,200,54405,0.5885311871227364,2018
2018 General Election,élection générale de 2018,2018-Jun-07,57,Markham-Thornhill,Markham-Thornhill,6,70373,2210,72583,0,37,5,37548,91,174,81,37894,0.5220781725748453,2018
2018 General Election,élection générale de 2018,2018-Jun-07,58,Markham-Unionville,Markham-Unionville,6,82983,3688,86671,0,41,4,46940,97,279,129,47445,0.5474149369454604,2018
2018 General Election,élection générale de 2018,2018-Jun-07,59,Milton,Milton,6,75025,3739,78764,0,36,5,43789,65,175,163,44192,0.5610685084556396,2018
2018 General Election,élection générale de 2018,2018-Jun-07,60,Mississauga Centre,Mississauga Centre,7,85633,3129,88762,0,100,5,43710,207,196,83,44196,0.497915774768482,2018
2018 General Election,élection générale de 2018,2018-Jun-07,61,Mississauga East-Cooksville,Mississauga East-Cooksville,7,83588,1602,85190,0,63,4,43405,160,183,104,43852,0.5147552529639629,2018
2018 General Election,élection générale de 2018,2018-Jun-07,62,Mississauga-Erin Mills,Mississauga-Erin Mills,7,82903,3418,86321,0,43,4,47178,147,181,81,47587,0.551279526418832,2018
2018 General Election,élection générale de 2018,2018-Jun-07,63,Mississauga-Lakeshore,Mississauga-Lakeshore,7,87632,2837,90469,0,56,5,53199,126,208,140,53673,0.5932750444903779,2018
2018 General Election,élection générale de 2018,2018-Jun-07,64,Mississauga-Malton,Mississauga-Malton,7,75527,2867,78394,0,28,4,37611,123,142,47,37923,0.4837487562823685,2018
2018 General Election,élection générale de 2018,2018-Jun-07,65,Mississauga-Streetsville,Mississauga-Streetsville,6,84527,2698,87225,0,29,5,47964,97,182,189,48432,0.5552536543422184,2018
2018 General Election,élection générale de 2018,2018-Jun-07,66,Nepean,Nepean,7,87110,3877,90987,0,43,5,52957,103,173,205,53438,0.587314671326673,2018
2018 General Election,élection générale de 2018,2018-Jun-07,67,Newmarket-Aurora,Newmarket-Aurora,9,84996,4080,89076,0,55,5,52013,166,165,187,52531,0.5897323633750954,2018
2018 General Election,élection générale de 2018,2018-Jun-07,68,Niagara Centre,Niagara Centre,8,85712,2575,88287,0,60,5,48874,186,267,227,49554,0.5612830881103673,2018
2018 General Election,élection générale de 2018,2018-Jun-07,69,Niagara Falls,Niagara Falls,6,106851,3184,110035,0,84,5,59381,157,250,244,60032,0.5455718634979779,2018
2018 General Election,élection générale de 2018,2018-Jun-07,70,Niagara West,Niagara West,6,72066,1847,73913,0,60,6,46190,82,168,329,46769,0.6327574310337829,2018
2018 General Election,élection générale de 2018,2018-Jun-07,71,Nickel Belt,Nickel Belt,8,63713,2766,66479,0,44,13,36467,125,145,105,36842,0.5541900449766091,2018
2018 General Election,élection générale de 2018,2018-Jun-07,72,Nipissing,Nipissing,6,58696,2603,61299,0,69,12,35243,120,206,134,35703,0.5824401703127294,2018
2018 General Election,élection générale de 2018,2018-Jun-07,73,Northumberland-Peterborough South,Northumberland-Peterborough South,7,89572,4932,94504,0,105,8,60423,123,211,331,61088,0.6464065013121137,2018
2018 General Election,élection générale de 2018,2018-Jun-07,74,Oakville,Oakville,5,89437,3065,92502,0,75,4,56871,81,647,182,57781,0.6246459536010032,2018
2018 General Election,élection générale de 2018,2018-Jun-07,75,Oakville North-Burlington,Oakville North-Burlington,6,88131,4381,92512,0,36,5,55351,74,175,93,55693,0.6020083881010031,2018
2018 General Election,élection générale de 2018,2018-Jun-07,76,Orléans,Orléans,6,96494,6327,102821,0,52,5,63950,155,229,205,64539,0.6276830608533276,2018
2018 General Election,élection générale de 2018,2018-Jun-07,77,Oshawa,Oshawa,6,97448,2806,100254,0,47,5,54143,125,220,231,54719,0.5458036587068845,2018
2018 General Election,élection générale de 2018,2018-Jun-07,78,Ottawa Centre,Ottawa Centre,8,98902,7306,106208,0,117,5,64403,151,223,227,65004,0.6120442904489304,2018
2018 General Election,élection générale de 2018,2018-Jun-07,79,Ottawa South,Ottawa South,6,89871,3296,93167,0,66,5,52416,164,282,165,53027,0.5691607543443493,2018
2018 General Election,élection générale de 2018,2018-Jun-07,80,Ottawa-Vanier,Ottawa-Vanier,7,90269,4029,94298,0,110,5,47958,179,231,171,48539,0.5147405035101486,2018
2018 General Election,élection générale de 2018,2018-Jun-07,81,Ottawa West-Nepean,Ottawa West-Nepean,6,85701,3874,89575,0,75,5,50545,123,241,188,51097,0.5704381802958414,2018
2018 General Election,élection générale de 2018,2018-Jun-07,82,Oxford,Oxford,8,86636,2961,89597,0,63,8,52311,160,280,331,53082,0.5924528723059923,2018
2018 General Election,élection générale de 2018,2018-Jun-07,83,Parkdale-High Park,Parkdale-High Park,6,82582,5549,88131,0,73,5,54549,105,174,195,55023,0.6243319603771658,2018
2018 General Election,élection générale de 2018,2018-Jun-07,84,Parry Sound-Muskoka,Parry Sound-Muskoka,7,75804,4376,80180,0,92,10,47143,93,119,124,47479,0.5921551509104515,2018
2018 General Election,élection générale de 2018,2018-Jun-07,85,Perth-Wellington,Perth-Wellington,8,74775,3963,78738,0,50,9,46843,109,172,392,47516,0.6034697350707409,2018
2018 General Election,élection générale de 2018,2018-Jun-07,86,Peterborough-Kawartha,Peterborough-Kawartha,6,93260,4810,98070,0,96,8,60790,177,251,316,61534,0.6274497807688385,2018
2018 General Election,élection générale de 2018,2018-Jun-07,87,Pickering-Uxbridge,Pickering-Uxbridge,9,87703,3451,91154,0,51,5,53193,98,185,211,53687,0.5889703139741536,2018
2018 General Election,élection générale de 2018,2018-Jun-07,88,Renfrew-Nipissing-Pembroke,Renfrew-Nipissing-Pembroke,6,77112,4438,81550,0,92,10,48199,128,164,225,48716,0.597375843041079,2018
2018 General Election,élection générale de 2018,2018-Jun-07,89,Richmond Hill,Richmond Hill,5,81325,2642,83967,0,62,5,43371,81,211,152,43815,0.5218121404837615,2018
2018 General Election,élection générale de 2018,2018-Jun-07,90,St. Catharines,St. Catharines,8,87550,2374,89924,0,54,6,51650,137,202,217,52206,0.5805569147279925,2018
2018 General Election,élection générale de 2018,2018-Jun-07,91,Sarnia-Lambton,Sarnia-Lambton,7,82020,2276,84296,0,70,8,50830,111,167,219,51327,0.6088901015469298,2018
2018 General Election,élection générale de 2018,2018-Jun-07,92,Sault Ste. Marie,Sault Ste. Marie,6,58541,1004,59545,0,57,5,32117,122,113,94,32446,0.5448988160214963,2018
2018 General Election,élection générale de 2018,2018-Jun-07,93,Scarborough-Agincourt,Scarborough-Agincourt,9,70659,1899,72558,0,46,4,36871,106,202,77,37256,0.5134650899969679,2018
2018 General Election,élection générale de 2018,2018-Jun-07,94,Scarborough Centre,Scarborough Centre,6,72896,2597,75493,0,81,5,39704,187,191,69,40151,0.5318506351582265,2018
2018 General Election,élection générale de 2018,2018-Jun-07,95,Scarborough-Guildwood,Scarborough-Guildwood,9,65853,2809,68662,0,64,5,35905,204,137,96,36342,0.5292883982406571,2018
2018 General Election,élection générale de 2018,2018-Jun-07,96,Scarborough North,Scarborough North,5,65811,1964,67775,0,40,5,34113,71,162,55,34401,0.507576540022132,2018
2018 General Election,élection générale de 2018,2018-Jun-07,97,Scarborough-Rouge Park,Scarborough-Rouge Park,6,73675,2638,76313,0,37,5,42015,147,141,84,42387,0.5554361642184162,2018
2018 General Election,élection générale de 2018,2018-Jun-07,98,Scarborough Southwest,Scarborough Southwest,8,74428,3901,78329,0,58,5,43443,161,192,98,43894,0.5603799359113482,2018
2018 General Election,élection générale de 2018,2018-Jun-07,99,Simcoe-Grey,Simcoe-Grey,5,102807,5349,108156,0,51,9,60963,110,262,403,61738,0.5708236251340656,2018
2018 General Election,élection générale de 2018,2018-Jun-07,100,Simcoe North,Simcoe North,5,89775,2675,92450,0,67,9,53789,119,208,319,54435,0.5888047593293672,2018
2018 General Election,élection générale de 2018,2018-Jun-07,101,Spadina-Fort York,Spadina-Fort York,7,85269,8353,93622,0,116,5,49731,142,132,141,50146,0.5356219691952746,2018
2018 General Election,élection générale de 2018,2018-Jun-07,102,Stormont-Dundas-South Glengarry,Stormont-Dundas-South Glengarry,5,77750,3592,81342,0,80,7,43538,151,141,179,44009,0.5410366108529417,2018
2018 General Election,élection générale de 2018,2018-Jun-07,103,Sudbury,Sudbury,8,65190,2220,67410,0,90,5,36167,151,132,99,36549,0.5421895861148197,2018
2018 General Election,élection générale de 2018,2018-Jun-07,104,Thornhill,Thornhill,7,82706,2273,84979,0,67,4,47259,146,175,144,47724,0.5615975711646406,2018
2018 General Election,élection générale de 2018,2018-Jun-07,105,Thunder Bay-Atikokan,Thunder Bay-Atikokan,6,58364,1632,59996,0,66,7,32525,97,121,99,32842,0.5474031602106807,2018
2018 General Election,élection générale de 2018,2018-Jun-07,106,Thunder Bay-Superior North,Thunder Bay-Superior North,7,54229,2048,56277,0,78,11,30035,103,90,71,30299,0.5383904614673845,2018
2018 General Election,élection générale de 2018,2018-Jun-07,107,Timiskaming-Cochrane,Timiskaming-Cochrane,6,50124,2198,52322,0,78,11,27461,109,121,84,27775,0.5308474446695463,2018
