EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,78,Ottawa Centre,Ottawa Centre,10,109977,486,110463,0,115,5,55781,116,113,37,56047,0.5073825624869865,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,79,Ottawa South,Ottawa South,8,95361,630,95991,0,63,5,40500,100,149,30,40779,0.4248210769759664,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,80,Ottawa-Vanier,Ottawa-Vanier,9,101657,-2883,98774,0,103,5,38673,134,89,40,38936,0.3941928037742725,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,81,Ottawa West-Nepean,Ottawa West-Nepean,5,91223,-1787,89436,0,65,5,41814,499,81,21,42415,0.4742497428328637,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,82,Oxford,Oxford,6,94368,1559,95927,0,57,8,44321,102,74,64,44561,0.4645303199307806,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,83,Parkdale-High Park,Parkdale-High Park,8,86295,-943,85352,0,57,5,42664,112,81,35,42892,0.5025306964101602,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,84,Parry Sound-Muskoka,Parry Sound-Muskoka,7,82580,1700,84280,0,85,11,44558,73,73,41,44745,0.5309088751779781,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,85,Perth-Wellington,Perth-Wellington,7,83638,-141,83497,0,52,9,41597,90,78,61,41826,0.5009281770602536,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,86,Peterborough-Kawartha,Peterborough-Kawartha,6,103171,-1008,102163,0,85,8,52373,88,65,53,52579,0.5146579485723795,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,87,Pickering-Uxbridge,Pickering-Uxbridge,8,95468,696,96164,0,50,5,43232,221,75,25,43553,0.4529033734037685,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,88,Renfrew-Nipissing-Pembroke,Renfrew-Nipissing-Pembroke,7,85768,1575,87343,0,88,10,40188,112,87,40,40427,0.4628533482935094,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,89,Richmond Hill,Richmond Hill,7,85148,677,85825,0,64,5,30796,92,107,23,31018,0.3614098456160792,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,90,St. Catharines,St. Catharines,9,93002,-78,92924,0,52,6,43136,140,55,29,43360,0.466617881279325,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,91,Sarnia-Lambton,Sarnia-Lambton,7,86320,415,86735,0,69,8,40181,125,115,75,40496,0.4668934109644318,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,92,Sault Ste. Marie,Sault Ste. Marie,6,60818,-70,60748,0,54,6,26884,74,51,18,27027,0.4449035359188779,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,93,Scarborough-Agincourt,Scarborough-Agincourt,6,72891,141,73032,0,40,4,28636,73,75,11,28795,0.3942792200679154,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,94,Scarborough Centre,Scarborough Centre,10,77114,744,77858,0,76,5,31869,120,110,21,32120,0.4125459169256852,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,95,Scarborough-Guildwood,Scarborough-Guildwood,7,69754,399,70153,0,62,5,28949,121,106,29,29205,0.4163043633201716,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,96,Scarborough North,Scarborough North,7,66444,588,67032,0,40,5,26177,60,75,6,26318,0.3926184508891275,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,97,Scarborough-Rouge Park,Scarborough-Rouge Park,7,77916,651,78567,0,37,5,35312,51,70,14,35447,0.4511690658928048,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,98,Scarborough Southwest,Scarborough Southwest,8,79624,598,80222,0,51,5,35326,94,131,22,35573,0.4434319762658622,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,99,Simcoe-Grey,Simcoe-Grey,7,120499,1614,122113,0,55,9,52886,95,108,52,53141,0.4351788916822942,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,100,Simcoe North,Simcoe North,7,101053,-516,100537,0,65,9,46265,113,57,58,46493,0.4624466614281309,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,101,Spadina-Fort York,Spadina-Fort York,6,99325,-105,99220,0,33,5,33857,130,71,29,34087,0.3435496875629913,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,102,Stormont-Dundas-South Glengarry,Stormont-Dundas-South Glengarry,6,87489,-226,87263,0,77,8,36114,124,67,23,36328,0.4163047339651398,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,103,Sudbury,Sudbury,8,68036,-1642,66394,0,83,6,29410,124,50,29,29613,0.4460192186040907,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,104,Thornhill,Thornhill,11,87082,231,87313,0,56,4,34522,159,115,24,34820,0.3987951393263317,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,105,Thunder Bay-Atikokan,Thunder Bay-Atikokan,7,61879,228,62107,0,66,7,26598,77,49,37,26761,0.4308854074419952,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,106,Thunder Bay-Superior North,Thunder Bay-Superior North,8,57378,-26,57352,0,79,11,24634,78,63,24,24799,0.4323999163063188,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,107,Timiskaming-Cochrane,Timiskaming-Cochrane,8,52988,842,53830,0,71,11,22779,105,29,23,22936,0.4260821103473899,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,108,Timmins,Timmins,5,33345,41,33386,0,22,5,14437,66,26,6,14535,0.4353621278380159,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,109,Toronto Centre,Toronto Centre,8,88307,-39,88268,0,63,6,34921,105,105,14,35145,0.3981624144650382,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,110,Toronto-Danforth,Toronto-Danforth,8,83888,197,84085,0,39,4,41324,139,70,35,41568,0.4943569007551882,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,111,Toronto-St. Paul's,Toronto-St. Paul's,8,88350,74,88424,0,45,5,42179,230,79,19,42507,0.4807179046412738,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,112,University-Rosedale,University-Rosedale,6,86192,308,86500,0,70,5,37181,94,77,18,37370,0.4320231213872832,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,113,Vaughan-Woodbridge,Vaughan-Woodbridge,8,81090,1125,82215,0,33,5,35958,122,109,11,36200,0.4403089460560724,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,114,Waterloo,Waterloo,8,93522,-287,93235,0,58,5,44922,96,52,68,45138,0.4841314956829516,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,115,Wellington-Halton Hills,Wellington-Halton Hills,6,102933,-22,102911,0,49,8,49493,120,130,44,49787,0.4837869615492998,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,116,Whitby,Whitby,8,101835,1474,103309,0,57,4,46104,148,91,23,46366,0.4488089130666253,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,117,Willowdale,Willowdale,11,79541,401,79942,0,101,5,31583,99,116,47,31845,0.3983513046959045,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,118,Windsor-Tecumseh,Windsor-Tecumseh,10,94976,512,95488,0,64,5,38551,126,62,40,38779,0.4061138572386058,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,119,Windsor West,Windsor West,6,94977,318,95295,0,66,4,31752,131,141,15,32039,0.3362086153523269,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,120,York Centre,York Centre,9,72576,525,73101,0,67,5,28128,171,85,83,28467,0.3894201173718553,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,121,York-Simcoe,York-Simcoe,8,93376,948,94324,0,44,6,36628,76,68,19,36791,0.3900491921462194,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,122,York South-Weston,York South-Weston,7,80336,231,80567,0,68,5,30432,162,90,19,30703,0.3810865490833716,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,123,Kiiwetinoong,Kiiwetinoong,5,15775,7,15782,0,40,11,4763,13,13,9,4798,0.3040172348244835,2022
2022 Provincial General Election_10_27_2022,Élection générale provinciale de 2022_10_27_2022,2022-Jun-02,124,Mushkegowuk-James Bay,Mushkegowuk-James Bay,6,18639,-156,18483,0,25,8,7255,23,5,0,7283,0.3940377644321809,2022
