EventNameEnglish,EventNameFrench,PollingDate,ElectoralDistrictNumber,ElectoralDistrictNameEnglish,ElectoralDistrictNameFrench,NumberOfCandidates,NumberOfNamesRegistered,NumberOfNamesRevised,TotalNumberOfNames,RuralPollingPlaces,UrbanPollingPlaces,AdvancePollingPlaces,ValidBallotsFromBoxes,RejectedBallotsFromBoxes,UnmarkedBallotsFromBoxes,DeclinedBallots,VoterTurnoutTotal,VoterTurnoutPercentageOfList,year
2014 General Election,élection générale de 2014,2014-Jun-12,98,WELLAND,WELLAND,5,85377,1886,87263,0,242,8,45653,301,125,348,46427,0.5320353414390978,2014
2014 General Election,élection générale de 2014,2014-Jun-12,99,WELLINGTON-HALTON HILLS,WELLINGTON-HALTON HILLS,6,86463,1886,88349,0,234,11,48165,232,140,595,49132,0.5561126894475319,2014
2014 General Election,élection générale de 2014,2014-Jun-12,100,WHITBY-OSHAWA,WHITBY-OSHAWA,5,107876,2522,110398,0,280,6,59110,241,139,512,60002,0.5435062229388213,2014
2014 General Election,élection générale de 2014,2014-Jun-12,101,WILLOWDALE,WILLOWDALE,4,96866,2860,99726,0,295,6,46219,169,171,194,46753,0.4688145518721296,2014
2014 General Election,élection générale de 2014,2014-Jun-12,102,WINDSOR-TECUMSEH,WINDSOR-TECUMSEH,5,86035,1073,87108,0,250,5,36710,152,140,254,37256,0.4276989484318317,2014
2014 General Election,élection générale de 2014,2014-Jun-12,103,WINDSOR WEST,WINDSOR WEST,5,83958,2327,86285,0,246,6,36331,208,122,188,36849,0.4270614822970388,2014
2014 General Election,élection générale de 2014,2014-Jun-12,104,YORK CENTRE,YORK CENTRE,5,73855,2859,76714,0,197,9,35361,246,108,142,35857,0.4674114242511145,2014
2014 General Election,élection générale de 2014,2014-Jun-12,105,YORK-SIMCOE,YORK-SIMCOE,5,98604,2140,100744,0,265,10,47086,218,99,484,47887,0.4753335186214563,2014
2014 General Election,élection générale de 2014,2014-Jun-12,106,YORK SOUTH-WESTON,YORK SOUTH-WESTON,6,68969,2891,71860,0,214,5,32748,216,89,99,33152,0.4613414973559699,2014
2014 General Election,élection générale de 2014,2014-Jun-12,107,YORK WEST,YORK WEST,6,59011,2043,61054,0,184,5,25494,168,69,60,25791,0.42242932485996,2014
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2015-Feb-05,88,Sudbury,Sudbury,10,64596,760,65356,0,227,12,25795,80,30,33,25938,0.3968725136177244,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2015-Sep-03,86,Simcoe North,Simcoe North,8,96138,910,97048,0,263,14,39301,97,25,48,39471,0.4067162641167257,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Feb-11,100,Whitby-Oshawa,Whitby-Oshawa,10,111105,950,112055,0,70,6,32226,17,18,28,32289,0.2881531390834857,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Sep-01,83,Scarborough-Rouge River,Scarborough-Rouge River,11,88884,1234,90118,0,231,6,25113,84,30,16,25243,0.2801105217603586,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Nov-17,55,Niagara West-Glanbrook,Niagara West-Glanbrook,9,101560,516,102076,0,229,7,32718,93,35,54,32900,0.3223088679023472,2018
2015 - 2017 By Elections,élection partielles de 2015 - 2017,2016-Nov-17,65,Ottawa-Vanier,Ottawa-Vanier,11,81556,346,81902,0,253,12,30454,105,31,17,30607,0.3737027178823471,2018
2015 - 2017 By-Elections,élection partielles de 2015 - 2017,2017-Jun-01,79,Sault Ste. Marie,Sault Ste. Marie,7,59266,-322,58944,0,166,8,25754,73,19,8,25854,0.4386197068403908,2018
2018 General Election,élection générale de 2018,2018-Jun-07,1,Ajax,Ajax,7,87146,3060,90206,0,38,4,48860,99,152,170,49281,0.5463162095647739,2018
2018 General Election,élection générale de 2018,2018-Jun-07,2,Algoma-Manitoulin,Algoma-Manitoulin,6,51566,3978,55544,0,94,17,29211,114,65,91,29481,0.530768399827164,2018
2018 General Election,élection générale de 2018,2018-Jun-07,3,Aurora-Oak Ridges-Richmond Hill,Aurora-Oak Ridges-Richmond Hill,9,78909,3070,81979,0,49,5,44998,105,209,132,45444,0.5543370863269861,2018
2018 General Election,élection générale de 2018,2018-Jun-07,4,Barrie-Innisfil,Barrie-Innisfil,8,79348,3209,82557,0,31,5,44272,121,143,270,44806,0.542728054556246,2018
2018 General Election,élection générale de 2018,2018-Jun-07,5,Barrie-Springwater-Oro-Medonte,Barrie-Springwater-Oro-Medonte,8,77601,3350,80951,0,62,6,45689,68,140,289,46186,0.5705426739632617,2018
2018 General Election,élection générale de 2018,2018-Jun-07,6,Bay of Quinte,Bay of Quinte,7,85564,4760,90324,0,79,9,50442,116,151,287,50996,0.5645896993047252,2018
2018 General Election,élection générale de 2018,2018-Jun-07,7,Beaches-East York,Beaches-East York,11,78737,3649,82386,0,38,5,49914,128,193,149,50384,0.6115602165416454,2018
2018 General Election,élection générale de 2018,2018-Jun-07,8,Brampton Centre,Brampton Centre,7,65173,2259,67432,0,43,5,33598,112,150,89,33949,0.5034553327796891,2018
2018 General Election,élection générale de 2018,2018-Jun-07,9,Brampton East,Brampton East,6,70755,4247,75002,0,26,4,38495,106,124,26,38751,0.5166662222340737,2018
2018 General Election,élection générale de 2018,2018-Jun-07,10,Brampton North,Brampton North,5,74527,3082,77609,0,29,4,39624,85,204,118,40031,0.5158035794817611,2018
2018 General Election,élection générale de 2018,2018-Jun-07,11,Brampton South,Brampton South,7,74114,3165,77279,0,46,4,38169,100,201,128,38598,0.4994629847694716,2018
2018 General Election,élection générale de 2018,2018-Jun-07,12,Brampton West,Brampton West,6,76018,4178,80196,0,22,4,37961,99,112,57,38229,0.4766945982343259,2018
