Year,Ward,Sub,PctVoted
2006,1,1,0.2789165446559297
2006,1,2,0.3715389568576948
2006,1,3,0.3120748299319728
2006,1,8,0.2603613177470776
2006,1,9,0.438953488372093
2006,1,10,0.3573667711598746
2006,1,11,0.3956639566395664
2006,1,15,1.0
2006,1,17,0.2688821752265861
2006,1,18,0.3749300503637381
2006,1,19,0.302803738317757
2006,1,20,0.2626131953428202
2006,1,21,0.1988795518207282
2006,1,22,0.264632316158079
2006,1,23,0.2201492537313432
2006,1,24,0.4444444444444444
2006,1,25,0.3636363636363636
2006,1,26,0.2880055788005579
2006,1,27,0.1938775510204081
2006,1,28,0.3915622940013183
2006,1,29,0.3438914027149321
2006,1,30,0.4252717391304347
2006,1,31,0.4382597568777991
2006,1,32,0.4384057971014493
2006,1,33,0.0967741935483871
2006,1,34,0.60431654676259
2006,1,36,0.2215882073228721
2006,1,37,0.2837108953613808
2006,1,38,0.3434753211629479
2006,1,39,0.6434108527131783
2006,1,40,0.1677419354838709
2006,2,1,0.3168141592920354
2006,2,2,0.3418367346938775
2006,2,3,0.4270900842514582
2006,2,4,0.4453125
2006,2,5,0.3198051948051948
2006,2,6,0.4490373725934314
2006,2,7,0.2580645161290322
2006,2,8,0.3858461538461538
2006,2,9,0.245393634840871
2006,2,10,0.383467278989667
2006,2,11,0.3190789473684211
2006,2,12,0.4771929824561403
2006,2,13,0.4124293785310734
2006,2,14,0.3969465648854962
2006,2,15,0.40231700895208
2006,2,16,0.23221586263287
2006,2,17,0.4064748201438849
2006,2,18,0.316017316017316
2006,2,19,0.248081841432225
2006,2,20,0.4918032786885246
2006,2,21,0.3993610223642173
2006,2,22,0.2923700202565834
2006,2,23,0.351063829787234
2006,2,24,1.0
2006,2,25,0.6929824561403509
2006,2,26,0.4556113902847571
2006,2,27,0.3985507246376811
2006,2,28,0.4527629233511586
2006,2,29,0.3946510110893672
2006,2,30,0.4367816091954023
2006,2,31,0.4194776931447225
2006,2,32,0.507168458781362
2006,2,33,0.6507936507936508
2006,3,1,0.3837784371909001
2006,3,2,0.3868539889613648
2006,3,3,0.4386815317498788
2006,3,4,0.3503336510962822
2006,3,5,0.3520625889046941
2006,3,6,0.3091962346125995
2006,3,7,0.1132075471698113
2006,3,8,0.348993288590604
2006,3,9,0.2926093514328808
2006,3,10,1.0
2006,3,11,0.345360824742268
2006,3,12,0.4126554894537588
2006,3,13,0.3375
2006,3,14,0.3282208588957055
2006,3,15,0.0943396226415094
2006,3,16,0.448559670781893
2006,3,17,0.3421052631578947
2006,3,18,0.3202827623708537
2006,3,19,0.3585492227979274
2006,3,20,0.3562610229276896
2006,3,21,0.3591160220994475
2006,3,22,0.3854166666666667
2006,3,23,0.4054054054054054
2006,3,24,0.3445887445887446
2006,3,25,0.2
2006,3,26,0.2230703986429177
2006,3,27,0.3845344555497106
2006,3,28,0.4692460317460317
2006,3,30,0.4814814814814814
2006,3,32,0.5143979057591623
2006,3,33,0.4356261022927689
2006,3,34,0.3399267399267399
2006,3,35,0.3195224719101123
2006,3,36,0.4022988505747126
2006,4,1,0.3413617415470125
2006,4,2,0.5931372549019608
2006,4,3,0.3263157894736842
2006,4,4,0.4194174757281553
2006,4,5,0.3474320241691843
2006,4,6,0.3612334801762114
2006,4,7,0.3774940143655227
2006,4,8,0.3741496598639456
2006,4,9,0.4343023255813953
2006,4,10,0.4438502673796791
2006,4,11,0.3940149625935162
2006,4,12,0.3902255639097744
2006,4,13,0.3737179487179487
2006,4,14,0.2993092862624712
2006,4,15,0.6888217522658611
2006,4,16,0.5708661417322834
2006,4,17,0.5469798657718121
2006,4,18,0.5808823529411765
2006,4,19,0.5680473372781065
2006,4,20,0.4874371859296482
